index,question_word_count,answer_word_count,question_sentence_count,answer_sentence_count,question_readability,answer_readability,flagged_suicide_in_question,flagged_suicide_in_answer,question_emails_found,question_phones_found,answer_emails_found,answer_phones_found,question_entities_sample,answer_entities_sample
2117,28,262,1,13,57.56,67.87,False,False,0,0,0,0,[],[]
2118,28,143,1,8,57.56,65.64,False,False,0,0,0,0,[],[]
2119,28,71,1,6,57.56,74.48,False,False,0,0,0,0,[],[]
2120,28,107,1,5,57.56,49.12,False,False,0,0,0,0,[],[]
2121,28,99,1,6,57.56,79.85,False,False,0,0,0,0,[],[]
2122,13,140,1,7,50.47,56.01,False,False,0,0,0,0,[],[]
2123,13,279,1,13,50.47,68.01,False,False,0,0,0,0,[],[]
2124,13,111,1,7,50.47,61.93,False,False,0,0,0,0,[],[]
2125,13,243,1,13,50.47,66.01,False,False,0,0,0,0,[],[]
2126,13,178,1,5,50.47,44.75,False,False,0,0,0,0,[],[]
2127,13,61,1,3,50.47,80.79,False,False,0,0,0,0,[],[]
2128,13,137,1,8,50.47,68.42,False,False,0,0,0,0,[],[]
